Job Title,Company Name,Status,CTC,Recruiters Details,URL,question_text,input type,user input text
DevOps Engineer,career point consultancy,Applied Successfully,Not Disclosed,[],No URL,,,
Junior Business Development,Alphagrep Securities,Applied Successfully,Not Disclosed,[],No URL,,,
Junior Business Development,Alphagrep Securities,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=070623502288&multiApplyResp={%22070623502288%22:202},,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-cn-comms-media-japan-bilingual-manager-accenture-solutions-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-2-to-7-years-310523910554?src=jobsearchDesk&sid=16862128854334917&xp=3&px=1,,,
Django / Python Developer - Hybrid / Remote,91social Software,Applied Successfully,Not Disclosed,[],No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-python-developer-omega-healthcare-chennai-tamil-nadu-bangalore-bengaluru-karnataka-3-to-5-years-060623005988?src=jobsearchDesk&sid=16862128854334917&xp=5&px=1,,,
Python Engineer,Mobiveil Technologies India,Applied Successfully,Not Disclosed,[],No URL,,,
Python Engineer,Mobiveil Technologies India,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=270523501029&multiApplyResp={%22270523501029%22:202},,,
Python Automation Test Engineer,Advance Career Solutions,Applied Successfully,9-19 Lacs P.A.,[],No URL,,,
Backend Developer (Python and FastAPI),Zino Technologies,Applied Successfully,7-12 Lacs P.A.,"BHIVE Workspace, No.467/468, Shri Krishna Temple Rd, Indira Nagar 1st Stage, Bengaluru, Karnataka 560038 Email: contact@getzino.com",No URL,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-data-engineer-with-strong-exp-on-sql-python-ivy-software-development-services-pvt-ltd-hyderabad-secunderabad-3-to-6-years-281022009900?src=jobsearchDesk&sid=16862128854334917&xp=9&px=1,,,
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-software-developer-python-ramboll-hyderabad-secunderabad-2-to-4-years-240523009468?src=jobsearchDesk&sid=16862128854334917&xp=10&px=1,,,
QA Automation Engineer - Selenium/Python,Career Infosystem,Applied Successfully,Not Disclosed,[],No URL,,,
Data Engineer PySpark & pandas remote,Team Plus Staffing Solution,Applied Successfully,12-20 Lacs P.A.,[],No URL,,,
Data Scientist - (Gaming),Brainsearch Consulting,Applied Successfully,10-20 Lacs P.A.,[],No URL,,,
GCP DevOps Engineer (Immediate Joiner) @ Mumbai/Kolkata,Brainsearch Consulting,Applied Successfully,13-19 Lacs P.A.,[],No URL,,,
Backend Developer - Microservices Architecture,Valiance Solutions,Applied Successfully,Not Disclosed,[],No URL,,,
Software Engineer II,Our Ncr,Applied Successfully,Not Disclosed,[],No URL,,,
Software Engineer II,Our Ncr,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=070623500186&multiApplyResp={%22070623500186%22:202},,,
Big Data Tester,Carelon Global Solutions,Applied Successfully,Not Disclosed,"BLR3 Xenon South Tower, Ground, 1st to 7th Floor Bagmane Solarium City, Graphite India Road Doddane kundi Phase I Industrial Area BANGALORE, BANGALORE, Karnataka, India",No URL,,,
Validation - Engineer/Senior Engineer/Specialist/Lead,Tata Elxsi,Applied Successfully,6-16 Lacs P.A.,[],No URL,,,
Senior Scientist/NLP/Machine Learning/Data Mining Professional,Career Maker,Applied Successfully,Not Disclosed,[],No URL,,,
Devops Engineer,Mapple Fly,Applied Successfully,19-27.5 Lacs P.A.,[],No URL,,,
